,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_k,salary_more_than_100k
0,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,2,70.0,0
1,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,0,260.0,1
2,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,1,GB,1,85.0,0
3,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,0,20.0,0
4,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,1,US,2,150.0,1
5,2020,EN,FT,Data Analyst,72000,USD,72000,US,2,US,2,72.0,0
6,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,2,US,0,190.0,1
7,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,1,HU,2,11000.0,1
8,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,2,US,2,135.0,1
9,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,1,NZ,0,125.0,1
10,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,0,45.0,0
11,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,2,3000.0,1
12,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,1,35.0,0
13,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,2,US,2,87.0,0
14,2020,MI,FT,Data Analyst,85000,USD,85000,US,2,US,2,85.0,0
15,2020,MI,FT,Data Analyst,8000,USD,8000,PK,1,PK,2,8.0,0
16,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,2,JP,0,4450.0,1
17,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,2,GB,0,100.0,0
18,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,1,IN,1,423.0,1
19,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,2,US,1,56.0,0
20,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,1,299.0,1
21,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,2,IN,2,450.0,1
22,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,1,GR,2,42.0,0
23,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,1,98.0,0
24,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,2,115.0,1
25,2020,EX,FT,Director of Data Science,325000,USD,325000,US,2,US,2,325.0,1
